clusterName,clusterSize,f_score,recall,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
Pvalb_6,500,0.29255319148936176,0.198,0.33221476510067116,72445,199,401,99,4,"['POSTN', 'SULF1', 'CEMIP', 'RNF144B']",0.06235906481742859
Pvalb_7,500,0.5650087260034904,0.518,0.578125,72455,189,241,259,2,"['SULF1', 'ZNF385D-AS2']",0.0888446718454361
Pvalb_8,500,0.5676733780760627,0.406,0.6304347826086957,72525,119,297,203,3,"['CA8', 'FGFR2', 'TAC1']",0.05225411802530289
Pvalb_9,500,0.5845323741007195,0.52,0.6032482598607889,72473,171,240,260,2,"['PVALB', 'POSTN']",0.1897684633731842
Sncg_1,500,0.5883947939262474,0.434,0.6458333333333334,72525,119,283,217,3,"['UNC5B', 'TAFA4', 'THSD7B']",0.08121369034051895
Sncg_2,500,0.7396788990825688,0.516,0.8295819935691319,72591,53,242,258,4,"['FOXO1', 'CA10', 'PRELID2', 'THSD7B']",0.03349408879876137
Sncg_3,500,0.4528985507246377,0.2,0.6622516556291391,72593,51,400,100,3,"['SEMA3C', 'MYO1B', 'VAV3']",0.0400640070438385
Sncg_4,500,0.6752411575562701,0.336,0.9032258064516129,72626,18,332,168,3,"['LINC01539', 'DCN', 'THSD7B']",0.05964647978544235
Sncg_5,500,0.5214285714285715,0.292,0.6488888888888888,72565,79,354,146,3,"['COL5A2', 'TMEM47', 'MEGF11']",0.059947505593299866
Sncg_6,500,0.5738434163701067,0.258,0.8269230769230769,72617,27,371,129,3,"['THSD7B', 'ADAMTSL1', 'RELN']",0.029940569773316383
Sncg_7,500,0.7097791798107256,0.36,0.9375,72632,12,320,180,3,"['HTR3A', 'SYT9', 'MCTP2']",0.11939926445484161
Sncg_8,303,0.49476135040745045,0.28052805280528054,0.6115107913669064,72787,54,218,85,3,"['NDST4', 'HTR2C', 'PRELID2']",0.049695227295160294
Sst Chodl_1,500,0.894026186579378,0.874,0.8991769547325102,72595,49,63,437,1,['NPY'],0.6137999296188354
Sst_1,500,0.5104166666666666,0.294,0.625531914893617,72556,88,353,147,3,"['NDST4', 'ANGPT1', 'EPB41L4A']",0.053351111710071564
Sst_2,500,0.5613577023498695,0.344,0.6666666666666666,72558,86,328,172,3,"['HPGD', 'RGS5_ENSG00000143248', 'SPON1']",0.050327688455581665
Sst_3,460,0.6936997319034853,0.45,0.8023255813953488,72633,51,253,207,3,"['TCF7L1', 'FBXL7', 'CBLN2']",0.03275166451931
Sst_4,452,0.5479002624671917,0.3694690265486726,0.6231343283582089,72591,101,285,167,4,"['SCARA5', 'PIEZO2', 'CRYBG3', 'PLCH1']",0.08051922172307968
Sst_5,390,0.5248833592534992,0.34615384615384615,0.6026785714285714,72665,89,255,135,3,"['SH3RF2', 'NPY', 'CALB1']",0.38620007038116455
Sst_6,293,0.38520801232665647,0.17064846416382254,0.5617977528089888,72812,39,243,50,2,"['DPP4', 'MAFB']",0.05771525949239731
Sst_7,500,0.4469696969696969,0.236,0.5756097560975609,72557,87,382,118,4,"['EPSTI1', 'PIEZO2', 'HPSE2', 'PLCH1']",0.07108182460069656
Sst_8,500,0.5061619718309859,0.23,0.7232704402515723,72600,44,385,115,3,"['STK32A', 'SYT9', 'RELN']",0.11192359775304794
Sst_9,500,0.3506097560975609,0.184,0.45320197044334976,72533,111,408,92,3,"['MYO10', 'ARHGAP6', 'FREM1']",0.04535326361656189
Sst_10,500,0.3615384615384615,0.188,0.47,72538,106,406,94,4,"['HPSE2', 'EYA4', 'SST', 'PLCH1']",0.032743826508522034
Sst_11,500,0.34898477157360397,0.22,0.40892193308550184,72485,159,390,110,3,"['ADGRG6', 'PROM1', 'SYT9']",0.14420731365680695
Sst_12,500,0.34348441926345613,0.194,0.42543859649122806,72513,131,403,97,4,"['CBLN4', 'SLC24A4', 'EYS', 'PLCH1']",0.0341724269092083
Sst_13,500,0.5461876832844575,0.298,0.6898148148148148,72577,67,351,149,3,"['FBN2', 'TRPC6', 'EPB41L4A']",0.04587966576218605
Sst_14,500,0.46314741035856577,0.186,0.7380952380952381,72611,33,407,93,3,"['SLC9A2', 'ROR1', 'EYA4']",0.047164302319288254
Sst_15,500,0.45995670995671,0.17,0.8018867924528302,72623,21,415,85,4,"['DPP4', 'EPB41L4A', 'FREM1', 'PLCH1']",0.039044201374053955
Sst_16,500,0.6000000000000001,0.264,0.88,72626,18,368,132,3,"['LINC01630', 'DACH1', 'VAV3']",0.04909472540020943
Sst_17,500,0.40226063829787234,0.242,0.4820717131474104,72514,130,379,121,3,"['PROM1', 'EYA2', 'PLCH1']",0.0935036689043045
Sst_18,500,0.34307875894988066,0.23,0.391156462585034,72465,179,385,115,4,"['ENOX2', 'PNOC', 'SST', 'RELN']",0.03171800449490547
Sst_19,500,0.7339449541284404,0.512,0.8231511254019293,72589,55,244,256,3,"['EPB41L4A', 'GPC5', 'PLCH1']",0.033579785376787186
Sst_20,500,0.4671717171717172,0.37,0.5,72459,185,315,185,3,"['QRFPR', 'HGF', 'RELN']",0.09578680247068405
Sst_21,500,0.48315602836879434,0.218,0.6942675159235668,72596,48,391,109,3,"['ANGPT1', 'FBN2', 'COL24A1']",0.05125998705625534
Sst_22,500,0.4351032448377581,0.236,0.5514018691588785,72548,96,382,118,3,"['EPB41L4A', 'ITGA8', 'SST']",0.030738597735762596
Sst_23,500,0.6134686346863469,0.266,0.910958904109589,72631,13,367,133,3,"['NIBAN1', 'PROM1', 'THSD7B']",0.12935864925384521
Sst_24,500,0.37790697674418605,0.182,0.5170454545454546,72559,85,409,91,3,"['NDST4', 'BMP6', 'MYO5B']",0.04334740340709686
Sst_25,500,0.45689655172413796,0.212,0.6424242424242425,72585,59,394,106,3,"['BLM', 'CALB1', 'STK32B']",0.1325361430644989
Sst_26,500,0.2326233183856502,0.166,0.2585669781931464,72406,238,417,83,3,"['MME', 'FBN2', 'MCUB']",0.050330400466918945
Sst_27,500,0.39168937329700276,0.23,0.47520661157024796,72517,127,385,115,4,"['EDNRA', 'MT-ND5', 'FREM1', 'SST']",0.031068135052919388
Sst_28,500,0.5884615384615385,0.306,0.765,72597,47,347,153,3,"['PROM1', 'NDST4', 'TRPC6']",0.08169220387935638
Sst_29,500,0.41353383458646614,0.176,0.624113475177305,72591,53,412,88,3,"['ENPP1', 'QRFPR', 'PIEZO2']",0.12789402902126312
Sst_30,500,0.4063786008230453,0.316,0.4376731301939058,72441,203,342,158,3,"['NOTCH2', 'HTR2C', 'FBN2']",0.05153189226984978
Sst_31,500,0.4743083003952569,0.192,0.75,72612,32,404,96,4,"['FRZB', 'CBLN4', 'RGS5_ENSG00000143248', 'ARHGAP10']",0.054872483015060425
Sst_32,500,0.40567282321899734,0.246,0.484251968503937,72513,131,377,123,3,"['HPGD', 'PENK', 'EYA2']",0.15491974353790283
Sst_33,500,0.39086687306501544,0.202,0.51010101010101,72547,97,399,101,3,"['CRYBG3', 'BMP6', 'HTR2C']",0.05654806271195412
Sst_34,500,0.565749235474006,0.296,0.7326732673267327,72590,54,352,148,2,"['TTC29', 'TCF7L1']",0.6034216284751892
Sst_35,500,0.5226480836236933,0.24,0.7407407407407407,72602,42,380,120,3,"['ACVR1C', 'EYA2', 'TRIM67']",0.11552444845438004
Sst_36,500,0.6381381381381382,0.34,0.8173076923076923,72606,38,330,170,4,"['TRDN', 'ITGA1', 'PARD3B', 'PLCH1']",0.058732472360134125
Sst_37,500,0.5,0.188,0.8545454545454545,72628,16,406,94,3,"['PROM1', 'CRHBP', 'SST']",0.06754772365093231
VLMC_1,139,0.8559498956158662,0.5899280575539568,0.9647058823529412,73002,3,57,82,2,"['TAGLN', 'ACTA2']",1.0
VLMC_2,500,0.876753507014028,0.7,0.9358288770053476,72620,24,150,350,2,"['SLC19A1', 'COLEC12']",0.5459851026535034
Vip_1,500,0.400763358778626,0.252,0.4701492537313433,72502,142,374,126,3,"['FLT1', 'LRRC1', 'SHISA8']",0.07572276890277863
Vip_2,500,0.4741379310344827,0.242,0.6237113402061856,72571,73,379,121,4,"['IGFBP5', 'SLC22A3', 'PTGDS', 'VIP']",0.05969395488500595
Vip_3,500,0.40249999999999997,0.322,0.42933333333333334,72430,214,339,161,3,"['HPSE2', 'TRPC6', 'VIP']",0.043436676263809204
Vip_4,500,0.546875,0.238,0.8095238095238095,72616,28,381,119,3,"['WNT5A', 'ABI3BP', 'VCAN']",0.17546908557415009
Vip_5,500,0.4801324503311257,0.232,0.655367231638418,72583,61,384,116,3,"['LINC01630', 'IQGAP2', 'THSD4']",0.05891306698322296
Vip_6,500,0.5082179930795848,0.47,0.5187637969094923,72426,218,265,235,3,"['SMOC1', 'IQGAP2', 'PARD3B']",0.06690496951341629
Vip_7,500,0.40059347181008903,0.216,0.5094339622641509,72540,104,392,108,4,"['CCN2', 'PCDH18', 'SEMA3C', 'HPSE2']",0.08832390606403351
Vip_8,500,0.3183962264150943,0.162,0.41968911917098445,72532,112,419,81,3,"['VWDE', 'WSCD1', 'DACH2']",0.08570922166109085
Vip_9,500,0.48302107728337235,0.33,0.5463576158940397,72507,137,335,165,4,"['SLC7A11', 'TNS3', 'PPP1R1C', 'COBLL1']",0.07960610091686249
Vip_10,500,0.5405405405405405,0.32,0.6530612244897959,72559,85,340,160,3,"['ABI3BP', 'KCNG2', 'PARD3B']",0.05019134655594826
Vip_11,500,0.43523676880222845,0.25,0.5341880341880342,72535,109,375,125,4,"['ABI3BP', 'MCTP2', 'SLC22A3', 'PROS1']",0.0784321054816246
Vip_12,500,0.5889057750759878,0.31,0.7598039215686274,72595,49,345,155,3,"['SLC7A11', 'HCRTR2', 'EPS8']",0.06585239619016647
Vip_13,500,0.42776639344262285,0.334,0.46005509641873277,72448,196,333,167,3,"['ST18', 'PTGDS', 'VIP']",0.048103854060173035
Vip_14,500,0.5968468468468467,0.318,0.7644230769230769,72595,49,341,159,4,"['ST18', 'KCNH8', 'CA10', 'VIP']",0.056605517864227295
Vip_15,500,0.6172360248447205,0.318,0.8071065989847716,72606,38,341,159,2,"['SVIL', 'VIP']",0.042008981108665466
Vip_16,500,0.38,0.152,0.608,72595,49,424,76,4,"['NDST4', 'SEMA3C', 'HTR2C', 'VIP']",0.05907915160059929
Vip_17,500,0.6040502793296089,0.346,0.7424892703862661,72584,60,327,173,2,"['PENK', 'PARD3B']",0.12287250906229019
Vip_18,500,0.38953488372093026,0.134,0.7444444444444445,72621,23,433,67,3,"['NOX4', 'RXRG', 'NDST4']",0.10494266450405121
Vip_19,500,0.5353075170842825,0.376,0.5987261146496815,72518,126,312,188,3,"['CBLN1', 'HTR2C', 'VIP']",0.060451116412878036
Vip_20,500,0.3658536585365853,0.24,0.42105263157894735,72479,165,380,120,4,"['CBLN1', 'VIPR2', 'PPP1R1C', 'VIP']",0.08607778698205948
Vip_21,500,0.6180811808118081,0.268,0.9178082191780822,72632,12,366,134,2,"['ALDH1A2', 'ROR2']",0.3332996070384979
Vip_22,500,0.5279126213592233,0.348,0.6062717770034843,72531,113,326,174,3,"['ABI3BP', 'SLC7A11', 'EDNRA']",0.0968509390950203
Vip_23,500,0.54251269035533,0.342,0.6356877323420075,72546,98,329,171,3,"['KCNH8', 'EDNRA', 'KMO']",0.054503776133060455
Vip_24,500,0.36276223776223776,0.166,0.515527950310559,72566,78,417,83,3,"['LYPD1', 'ENHO', 'CHRNA2']",0.09659664332866669
Vip_25,500,0.5275229357798166,0.276,0.6831683168316832,72580,64,362,138,3,"['NOX4', 'IQGAP2', 'CBLN4']",0.06703069061040878
Vip_26,500,0.5947955390334573,0.256,0.8888888888888888,72628,16,372,128,4,"['SEMA3C', 'LINC01630', 'HPSE2', 'TAC3']",0.06442451477050781
Vip_27,489,0.5466778805719091,0.2658486707566462,0.7428571428571429,72610,45,359,130,4,"['DACH2', 'CHRNA7', 'MIR4500HG', 'VIP']",0.03746209666132927
Vip_28,189,0.3763440860215054,0.18518518518518517,0.5072463768115942,72921,34,154,35,2,"['HTR2C', 'DCN']",0.06298408657312393
Vip_29,71,0.49180327868852464,0.2535211267605634,0.6428571428571429,73063,10,53,18,5,"['IQGAP2', 'KCNJ2', 'TAC1', 'MYO5B', 'VIP']",0.02957322634756565
